Date,Close
2017+AC0-08+AC0-21,166.320007
2017+AC0-08+AC0-28,172.020004
2017+AC0-09+AC0-04,170.949997
2017+AC0-09+AC0-11,171.639999
2017+AC0-09+AC0-18,170.539993
2017+AC0-09+AC0-25,170.869995
2017+AC0-10+AC0-02,172.229996
2017+AC0-10+AC0-09,173.740005
2017+AC0-10+AC0-16,174.979996
2017+AC0-10+AC0-23,177.880005
2017+AC0-10+AC0-30,178.919998
2017+AC0-11+AC0-06,178.460007
2017+AC0-11+AC0-13,179
2017+AC0-11+AC0-20,182.779999
2017+AC0-11+AC0-27,175.100006
2017+AC0-12+AC0-04,179
2017+AC0-12+AC0-11,180.179993
2017+AC0-12+AC0-18,177.199997
2017+AC0-12+AC0-25,176.460007
2018+AC0-01+AC0-01,186.850006
2018+AC0-01+AC0-08,179.369995
2018+AC0-01+AC0-15,181.289993
2018+AC0-01+AC0-22,190
2018+AC0-01+AC0-29,190.279999
2018+AC0-02+AC0-05,176.110001
2018+AC0-02+AC0-12,177.360001
2018+AC0-02+AC0-19,183.289993
2018+AC0-02+AC0-26,176.619995
2018+AC0-03+AC0-05,185.229996
2018+AC0-03+AC0-12,185.089996
2018+AC0-03+AC0-19,159.389999
2018+AC0-03+AC0-26,159.789993
2018+AC0-04+AC0-02,157.199997
2018+AC0-04+AC0-09,164.520004
2018+AC0-04+AC0-16,166.279999
2018+AC0-04+AC0-23,173.589996
2018+AC0-04+AC0-30,176.610001
2018+AC0-05+AC0-07,186.990005
2018+AC0-05+AC0-14,182.679993
2018+AC0-05+AC0-21,184.919998
2018+AC0-05+AC0-28,193.990005
2018+AC0-06+AC0-04,189.100006
2018+AC0-06+AC0-11,195.850006
2018+AC0-06+AC0-18,201.740005
2018+AC0-06+AC0-25,194.320007
2018+AC0-07+AC0-02,203.229996
2018+AC0-07+AC0-09,207.320007
2018+AC0-07+AC0-16,209.940002
2018+AC0-07+AC0-23,174.889999
2018+AC0-07+AC0-30,177.779999
2018+AC0-08+AC0-06,180.259995
2018+AC0-08+AC0-13,173.800003
2018+AC0-08+AC0-20,174.649994
2018+AC0-08+AC0-27,175.729996
2018+AC0-09+AC0-03,163.039993
2018+AC0-09+AC0-10,162.320007
2018+AC0-09+AC0-17,162.929993
2018+AC0-09+AC0-24,164.460007
