Date,Close,,x,y
2018+AC0-06+AC0-18,201.740005,,266,
2018+AC0-06+AC0-25,194.320007,,267,
2018+AC0-07+AC0-02,203.229996,,268,
2018+AC0-07+AC0-09,207.320007,,269,
2018+AC0-07+AC0-16,209.940002,,270,
2018+AC0-07+AC0-23,174.889999,,271,
2018+AC0-07+AC0-30,177.779999,,272,
2018+AC0-08+AC0-06,180.259995,,273,
2018+AC0-08+AC0-13,173.800003,,274,
2018+AC0-08+AC0-20,174.649994,,275,
2018+AC0-08+AC0-27,175.729996,,276,
2018+AC0-09+AC0-03,163.039993,,277,
2018+AC0-09+AC0-10,162.320007,,278,
2018+AC0-09+AC0-17,162.929993,,279,
2018+AC0-09+AC0-24,164.460007,,280,
2018+AC0-10+AC0-01,157.330002,,281,
2018+AC0-10+AC0-08,153.740005,,282,
2018+AC0-10+AC0-15,154.050003,,283,
2018+AC0-10+AC0-22,145.369995,,284,
2018+AC0-10+AC0-29,150.350006,,285,
2018+AC0-11+AC0-05,144.960007,,286,
2018+AC0-11+AC0-12,144.220001,,287,
