Date,Close,quadratico,x,y,,x,y,linear
2015+AC0-08+AC0-17,86.059998,,118,97.0773527046,,118,96.7347163496,
2015+AC0-08+AC0-24,91.010002,,119,97.6253899388,,119,97.2799727986,
2015+AC0-08+AC0-31,88.260002,,120,98.1733181226,,120,97.8252292476,
2015+AC0-09+AC0-07,92.050003,,121,98.721137256,,121,98.3704856966,
2015+AC0-09+AC0-14,94.400002,,122,99.268847339,,122,98.9157421456,
2015+AC0-09+AC0-21,92.769997,,123,99.8164483716,,123,99.4609985946,
2015+AC0-09+AC0-28,92.07,,124,100.3639403538,,124,100.0062550436,
2015+AC0-10+AC0-05,93.239998,,125,100.9113232856,,125,100.5515114926,
2015+AC0-10+AC0-12,97.540001,,126,101.458597167,,126,101.0967679416,
2015+AC0-10+AC0-19,102.190002,,127,102.005761998,,127,101.6420243906,
2015+AC0-10+AC0-26,101.970001,,128,102.5528177786,,128,102.1872808396,
2015+AC0-11+AC0-02,107.099998,,129,103.0997645088,,129,102.7325372886,
2015+AC0-11+AC0-09,103.949997,,130,103.6466021886,,130,103.2777937376,
2015+AC0-11+AC0-16,107.32,,131,104.193330818,,131,103.8230501866,
2015+AC0-11+AC0-23,105.449997,,132,104.739950397,,132,104.3683066356,
2015+AC0-11+AC0-30,106.18,,133,105.2864609256,,133,104.9135630846,
2015+AC0-12+AC0-07,102.120003,,134,105.8328624038,,134,105.4588195336,
2015+AC0-12+AC0-14,104.040001,,135,106.3791548316,,135,106.0040759826,
2015+AC0-12+AC0-21,105.019997,,136,106.925338209,,136,106.5493324316,
2015+AC0-12+AC0-28,104.660004,,137,107.471412536,,137,107.0945888806,
2016+AC0-01+AC0-04,97.330002,,138,108.0173778126,,138,107.6398453296,
2016+AC0-01+AC0-11,94.970001,,139,108.5632340388,,139,108.1851017786,
2016+AC0-01+AC0-18,97.940002,,140,109.1089812146,,140,108.7303582276,
2016+AC0-01+AC0-25,112.209999,,141,109.65461934,,141,109.2756146766,
2016+AC0-02+AC0-01,104.07,,142,110.200148415,,142,109.8208711256,
2016+AC0-02+AC0-08,102.010002,,143,110.7455684396,,143,110.3661275746,
2016+AC0-02+AC0-15,104.57,,144,111.2908794138,,144,110.9113840236,
2016+AC0-02+AC0-22,107.919998,,145,111.8360813376,,145,111.4566404726,
2016+AC0-02+AC0-29,108.389999,,146,112.381174211,,146,112.0018969216,
2016+AC0-03+AC0-07,109.410004,,147,112.926158034,,147,112.5471533706,
2016+AC0-03+AC0-14,111.449997,,148,113.4710328066,,148,113.0924098196,
2016+AC0-03+AC0-21,113.050003,,149,114.0157985288,,149,113.6376662686,
2016+AC0-03+AC0-28,116.059998,,150,114.5604552006,,150,114.1829227176,
2016+AC0-04+AC0-04,110.629997,,151,115.105002822,,151,114.7281791666,
2016+AC0-04+AC0-11,109.639999,,152,115.649441393,,152,115.2734356156,
2016+AC0-04+AC0-18,110.559998,,153,116.1937709136,,153,115.8186920646,
2016+AC0-04+AC0-25,117.580002,,154,116.7379913838,,154,116.3639485136,
2016+AC0-05+AC0-02,119.489998,,155,117.2821028036,,155,116.9092049626,
2016+AC0-05+AC0-09,119.809998,,156,117.826105173,,156,117.4544614116,
2016+AC0-05+AC0-16,117.349998,,157,118.369998492,,157,117.9997178606,
2016+AC0-05+AC0-23,119.379997,,158,118.9137827606,,158,118.5449743096,
2016+AC0-05+AC0-30,118.470001,,159,119.4574579788,,159,119.0902307586,
2016+AC0-06+AC0-06,116.620003,,160,120.0010241466,,160,119.6354872076,
2016+AC0-06+AC0-13,113.019997,,161,120.544481264,,161,120.1807436566,
2016+AC0-06+AC0-20,112.080002,,162,121.087829331,,162,120.7260001056,
2016+AC0-06+AC0-27,114.190002,,163,121.6310683476,,163,121.2712565546,
2016+AC0-07+AC0-04,117.239998,,164,122.1741983138,,164,121.8165130036,
2016+AC0-07+AC0-11,116.860001,,165,122.7172192296,,165,122.3617694526,
2016+AC0-07+AC0-18,121,,166,123.260131095,,166,122.9070259016,
2016+AC0-07+AC0-25,123.940002,,167,123.80293391,,167,123.4522823506,
2016+AC0-08+AC0-01,125.150002,,168,124.3456276746,,168,123.9975387996,
2016+AC0-08+AC0-08,124.879997,,169,124.8882123888,,169,124.5427952486,
2016+AC0-08+AC0-15,123.559998,,170,125.4306880526,,170,125.0880516976,
2016+AC0-08+AC0-22,124.959999,,171,125.973054666,,171,125.6333081466,
2016+AC0-08+AC0-29,126.510002,,172,126.515312229,,172,126.1785645956,
2016+AC0-09+AC0-05,127.099998,,173,127.0574607416,,173,126.7238210446,
2016+AC0-09+AC0-12,129.070007,,174,127.5995002038,,174,127.2690774936,
2016+AC0-09+AC0-19,127.959999,,175,128.1414306156,,175,127.8143339426,
2016+AC0-09+AC0-26,128.270004,,176,128.683251977,,176,128.3595903916,
2016+AC0-10+AC0-03,128.990005,,177,129.224964288,,177,128.9048468406,
2016+AC0-10+AC0-10,127.879997,,178,129.7665675486,,178,129.4501032896,
2016+AC0-10+AC0-17,132.070007,,179,130.3080617588,,179,129.9953597386,
2016+AC0-10+AC0-24,131.289993,,180,130.8494469186,,180,130.5406161876,
2016+AC0-10+AC0-31,120.75,,181,131.390723028,,181,131.0858726366,
2016+AC0-11+AC0-07,119.019997,,182,131.931890087,,182,131.6311290856,
2016+AC0-11+AC0-14,117.019997,,183,132.4729480956,,183,132.1763855346,
2016+AC0-11+AC0-21,120.379997,,184,133.0138970538,,184,132.7216419836,
2016+AC0-11+AC0-28,115.400002,,185,133.5547369616,,185,133.2668984326,
2016+AC0-12+AC0-05,119.68,,186,134.095467819,,186,133.8121548816,
2016+AC0-12+AC0-12,119.870003,,187,134.636089626,,187,134.3574113306,
2016+AC0-12+AC0-19,117.269997,,188,135.1766023826,,188,134.9026677796,
2016+AC0-12+AC0-26,115.050003,,189,135.7170060888,,189,135.4479242286,
2017+AC0-01+AC0-02,123.410004,,190,136.2573007446,,190,135.9931806776,
2017+AC0-01+AC0-09,128.339996,,191,136.79748635,,191,136.5384371266,
2017+AC0-01+AC0-16,127.040001,,192,137.337562905,,192,137.0836935756,
2017+AC0-01+AC0-23,132.179993,,193,137.8775304096,,193,137.6289500246,
2017+AC0-01+AC0-30,130.979996,,194,138.4173888638,,194,138.1742064736,
2017+AC0-02+AC0-06,134.190002,,195,138.9571382676,,195,138.7194629226,
2017+AC0-02+AC0-13,133.529999,,196,139.496778621,,196,139.2647193716,
2017+AC0-02+AC0-20,135.440002,,197,140.036309924,,197,139.8099758206,
2017+AC0-02+AC0-27,137.169998,,198,140.5757321766,,198,140.3552322696,
2017+AC0-03+AC0-06,138.789993,,199,141.1150453788,,199,140.9004887186,
2017+AC0-03+AC0-13,139.839996,,200,141.6542495306,,200,141.4457451676,
2017+AC0-03+AC0-20,140.339996,,201,142.193344632,,201,141.9910016166,
2017+AC0-03+AC0-27,142.050003,,202,142.732330683,,202,142.5362580656,
2017+AC0-04+AC0-03,140.779999,,203,143.2712076836,,203,143.0815145146,
2017+AC0-04+AC0-10,139.389999,,204,143.8099756338,,204,143.6267709636,
2017+AC0-04+AC0-17,143.679993,,205,144.3486345336,,205,144.1720274126,
2017+AC0-04+AC0-24,150.25,,206,144.887184383,,206,144.7172838616,
2017+AC0-05+AC0-01,150.240005,,207,145.425625182,,207,145.2625403106,
2017+AC0-05+AC0-08,150.330002,,208,145.9639569306,,208,145.8077967596,
2017+AC0-05+AC0-15,148.059998,,209,146.5021796288,,209,146.3530532086,
2017+AC0-05+AC0-22,152.130005,,210,147.0402932766,,210,146.8983096576,
2017+AC0-05+AC0-29,153.610001,,211,147.578297874,,211,147.4435661066,
2017+AC0-06+AC0-05,149.600006,,212,148.116193421,,212,147.9888225556,
2017+AC0-06+AC0-12,150.639999,,213,148.6539799176,,213,148.5340790046,
2017+AC0-06+AC0-19,155.070007,,214,149.1916573638,,214,149.0793354536,
2017+AC0-06+AC0-26,150.979996,,215,149.7292257596,,215,149.6245919026,
2017+AC0-07+AC0-03,151.440002,,216,150.266685105,,216,150.1698483516,
2017+AC0-07+AC0-10,159.970001,,217,150.8040354,,217,150.7151048006,
2017+AC0-07+AC0-17,164.429993,,218,151.3412766446,,218,151.2603612496,
2017+AC0-07+AC0-24,172.449997,,219,151.8784088388,,219,151.8056176986,
2017+AC0-07+AC0-31,169.619995,,220,152.4154319826,,220,152.3508741476,
2017+AC0-08+AC0-07,168.080002,,221,152.952346076,,221,152.8961305966,
2017+AC0-08+AC0-14,167.410004,,222,153.489151119,,222,153.4413870456,
2017+AC0-08+AC0-21,166.320007,,223,154.0258471116,,223,153.9866434946,
2017+AC0-08+AC0-28,172.020004,,224,154.5624340538,,224,154.5318999436,
